Commodity,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
XAU_USD,3664.91,1hr vs 1d,Long,3600.06355,3429.62071,3178.6248,3650.59492,3643.2192,3613.67003,2025-09-15 16:21:42
XAU_USD,3664.91,4hr vs weekly,Long,3470.45717,3079.83623,2438.62133,3644.48115,3601.23171,3469.06853,2025-09-15 16:21:42
XAU_USD,3664.91,5min vs 1hr,Long,3650.59492,3643.2192,3613.67003,3663.73537,3654.52342,3646.08157,2025-09-15 16:21:42
XAU_USD,3664.91,15min vs 4hr,Long,3644.48115,3601.23171,3469.06853,3659.59904,3647.8047,3641.33758,2025-09-15 16:21:42
XAG_USD,42.4322,1hr vs 1d,Long,41.20463,38.74588,35.22121,42.25328,41.98591,41.41557,2025-09-15 16:21:43
XAG_USD,42.4322,4hr vs weekly,Long,39.54154,34.21702,28.41762,42.1084,41.22308,39.61025,2025-09-15 16:21:43
XAG_USD,42.4322,5min vs 1hr,Long,42.25328,41.98591,41.41557,42.41144,42.27251,42.20925,2025-09-15 16:21:43
XAG_USD,42.4322,15min vs 4hr,Long,42.1084,41.22308,39.61025,42.33162,42.22198,41.976,2025-09-15 16:21:43
XPT_USD,1413.726,1hr vs 1d,Long,1387.34467,1347.36646,1168.94591,1406.06816,1400.21127,1397.13542,2025-09-15 16:21:44
XPT_USD,1413.726,4hr vs weekly,Long,1361.26739,1142.28853,1025.31287,1401.70038,1390.26038,1373.68546,2025-09-15 16:21:44
XPT_USD,1413.726,15min vs 4hr,Long,1401.70038,1390.26038,1373.68546,1410.87979,1405.15358,1400.03886,2025-09-15 16:21:44
